id,daysUntilLastEdit,daysUntilSolved,countEditions
50930123,0,0,3
33106767,0,0,3
34783697,0,0,4
7338514,0,0,3
28529696,0,0,3
19024330,0,0,3
52326662,0,3,6
20161820,0,0,6
52311895,0,0,3
53332040,0,0,3
42250535,1,2,7
46760004,0,0,3
27975748,0,0,3
1618896,0,0,3
28355779,0,0,3
22176643,0,1,5
33365314,0,98,3
51456684,1,3,7
52044148,0,0,3
30509698,0,0,4
11786775,0,0,5
12848574,0,0,3
14088768,0,0,6
2922049,0,0,3
3721562,0,0,3
18483302,0,0,4
48481488,0,0,5
5536915,0,0,3
541956,0,1,5
31338229,0,0,3
9068587,0,0,3
17205405,0,0,3
9728632,0,0,3
45641118,0,0,6
14971185,0,0,5
4404359,0,1,3
16873844,0,1,3
17143457,0,0,4
32969369,0,0,3
3463917,0,0,3
7989802,0,0,3
13612805,0,0,3
16793383,0,0,3
19664239,0,0,7
2222396,0,0,3
13206718,0,3,3
32970596,0,0,3
37032181,0,0,3
16331518,0,0,3
9028934,0,0,3
42158601,0,0,3
35019716,0,0,3
19938092,0,0,3
43713654,0,0,3
17259255,0,1,3
4237534,0,0,5
5801571,0,23,5
36623984,0,0,3
21864728,0,0,3
48037708,0,0,4
9473739,0,0,3
8315833,0,115,4
31836777,0,1,3
21627349,0,0,4
24172645,0,0,3
35092205,0,0,3
10282075,0,0,7
53296476,0,0,11
3836027,0,0,3
18053844,0,0,3
48856116,0,0,3
25712591,0,0,3
46330007,0,0,3
18550984,0,0,3
18609957,0,0,3
37360365,0,0,3
5107272,0,0,3
11063991,0,0,3
34516216,0,0,3
12686493,0,0,3
10411656,0,27,3
47434776,0,0,3
4023942,0,3,4
18902001,0,4,3
11884826,0,0,3
17644983,1,1,6
36213240,0,0,3
44064787,0,0,3
11981242,0,0,4
1129008,0,30,3
5215106,0,0,3
29931850,0,0,3
9046723,0,0,5
8075302,0,0,3
29505847,0,0,3
26592508,0,139,3
4328282,0,0,3
48600147,0,0,3
14837982,0,0,3
44267711,0,0,3
43870144,0,0,7
1831412,0,0,4
52185044,0,0,4
44369302,0,0,4
37767301,0,0,3
10160761,0,0,4
6352024,0,0,3
35225684,0,0,3
21726509,0,0,3
33690542,0,0,3
17786774,0,0,4
41615098,0,0,3
20519783,0,0,5
2548918,0,0,3
13002933,0,0,3
39061881,0,0,3
42611187,0,0,3
33687027,0,0,5
31388366,0,0,4
40806607,0,0,3
24118787,0,1,3
53102756,0,1,3
31110291,0,0,3
48358207,1,1,6
34964310,0,9,3
52746830,0,0,7
47022992,0,0,3
5015558,0,0,3
47083519,0,13,3
4926237,0,0,3
14063287,0,0,4
37172202,0,0,3
11878926,0,0,3
9823070,0,0,3
30002463,0,0,4
7957973,3,10,5
29867334,0,0,3
8118000,0,0,3
28154956,0,1,4
7519662,0,0,3
3573724,0,0,3
43825005,0,0,3
13164324,0,0,3
21835530,0,0,3
12638498,0,0,4
24784145,0,0,3
46366714,0,0,3
10156364,0,18,3
27029110,0,1,3
42907875,0,1,3
11144719,0,0,3
5111044,0,1,3
16401942,0,0,3
32683681,0,0,3
1780655,0,0,5
23491110,0,0,3
48828107,5,5,7
3858928,0,0,4
12711041,0,0,5
31786376,0,0,3
6181873,0,0,3
30981376,0,4,5
11353801,0,0,3
25781284,0,0,3
38042816,0,0,3
50084161,0,0,3
12030769,0,1,4
31868407,0,0,5
16950835,0,1,3
10482876,0,0,3
5979391,0,0,3
26376676,0,0,3
6869074,0,0,3
33437720,0,0,3
32575293,0,1,3
43985629,0,0,3
29651323,0,0,3
26701240,0,0,3
18615939,0,0,3
37253135,0,0,3
2757379,0,0,3
6873050,0,1215,3
14113820,0,0,5
9758159,0,0,3
16222738,0,0,3
27168162,0,0,3
4394420,0,0,4
8053742,0,1,4
4299116,0,0,3
13276388,0,0,4
14936717,0,0,3
38058262,0,0,4
25386122,0,0,3
13968431,0,0,3
25435030,0,808,5
29169387,0,0,3
24977879,0,0,3
20638245,0,0,3
23198234,0,23,3
19299184,0,0,3
13161404,0,0,4
39008778,0,0,3
21070085,0,0,4
38031532,0,0,3
51694633,0,0,3
8040435,0,0,3
43299326,0,0,3
20419961,0,0,4
26184982,0,0,3
11167242,0,346,3
17679133,0,0,3
41710022,0,0,4
6279529,0,0,3
2439348,0,0,3
24060511,0,0,7
42554112,0,0,4
1804661,0,0,3
49092061,0,0,4
51122146,0,1,4
34995688,0,0,3
49037297,0,14,3
19094607,0,0,3
2930629,0,0,3
44296474,0,0,3
34867398,0,0,3
31742264,0,0,5
11685039,0,0,5
32710832,0,0,4
37806290,2,7,5
48700691,0,0,4
30775029,0,0,3
12919054,0,0,5
24302383,0,0,3
10549179,0,0,4
925817,0,104,3
36503315,0,0,3
36094139,0,1,5
32069605,0,0,3
8930335,0,0,3
51209600,0,133,5
9686505,1,17,6
5648409,0,0,4
28819332,0,0,4
52068780,0,0,6
16122717,0,2,3
7234817,0,0,3
2068193,0,0,3
8175620,0,1,3
28131028,0,1,3
26814040,0,0,5
12501745,1,57,9
47837605,0,0,4
26645432,0,0,3
29112565,0,0,5
50497485,0,1,3
33780405,0,0,4
23412830,0,0,3
35100987,0,0,3
39749715,0,0,4
19110259,0,17,3
23276779,0,0,3
52315122,0,2,5
7384455,0,1,3
48407180,0,0,3
17562061,0,0,4
41032390,0,0,8
3373934,0,0,3
24817973,0,0,3
35403124,0,0,5
19608307,0,0,3
42361990,0,31,3
44322625,0,130,4
5734094,0,0,4
40633795,0,0,4
38275479,0,0,3
2408707,0,0,3
52374467,0,0,4
43786633,0,0,5
18580950,0,0,4
1796674,0,0,3
33014657,0,0,3
39522690,0,0,4
2442592,0,0,3
7831130,0,0,3
23005348,0,0,3
8289980,0,0,7
46459627,0,0,6
45000916,0,6,4
49039277,0,0,3
4023357,0,29,3
47939688,0,0,3
18585407,0,0,3
9733137,0,0,3
22045336,0,0,5
28769300,0,1,7
27760624,0,0,5
13216139,0,0,3
15112440,0,0,3
13591126,0,0,3
13724388,0,0,3
4801646,0,0,3
23884169,0,0,3
13701276,0,0,5
52556540,0,0,3
19118145,0,31,3
29164659,0,0,3
7030857,0,0,4
48467949,0,0,3
33713922,0,0,3
8225668,8,93,11
10196386,0,0,5
11300720,0,0,4
10135434,0,0,3
26274473,0,0,3
45402867,0,1,10
21555542,0,9,3
40572610,0,0,3
51959339,0,0,5
23191177,0,0,3
39276679,0,0,3
11711118,1,4,4
34664898,0,0,3
42681501,1,1,6
10790385,0,1,4
4967735,0,0,4
14288490,0,0,5
38296892,0,2,3
16419095,0,0,3
36063534,0,41,3
52756135,0,0,6
4280961,0,1,6
29760028,1,1,4
46689339,0,26,3
476951,0,0,3
16173196,0,0,5
25533136,0,13,3
50358280,0,0,3
7959903,0,0,3
27315536,0,0,5
16879246,0,0,3
15218448,0,225,3
14813698,0,0,3
4463766,0,0,4
35395753,0,155,3
13370649,0,0,3
6776448,0,47,3
47912682,0,0,3
25878997,0,0,3
20287183,0,0,3
3560862,0,169,3
50469795,0,1,3
47771611,0,0,3
53351450,0,0,3
11538192,0,0,4
45098079,0,0,3
50800466,0,0,3
47735876,0,0,4
21179121,0,0,3
21328284,0,0,4
12452347,1,46,6
3915721,0,0,3
17589908,0,0,4
2680088,0,0,3
29716405,0,0,3
44931127,1,1,5
21753031,0,0,4
25828239,0,3,3
11449958,0,0,3
42128158,0,0,6
37897527,0,0,3
34143331,0,1,3
17917463,0,0,4
49108944,0,0,3
32154259,0,0,3
24810262,0,11,5
37287298,0,0,3
2436015,0,2545,3
19229920,0,0,5
20411131,0,0,4
49226916,0,0,4
9759235,0,0,3
14880757,0,0,5
31350772,0,1,4
8448299,0,8,3
30335706,0,0,3
43373805,0,0,5
41749974,0,218,4
7433380,0,0,3
24244432,0,0,4
3484123,0,0,3
27764224,0,0,8
38600043,0,0,3
19077594,0,0,12
24105373,0,1,3
11301651,0,0,3
21050049,0,0,3
6198282,0,0,3
5300101,0,20,4
33851845,0,0,3
20729603,0,0,4
45077204,0,0,3
31763946,0,0,3
6167331,0,0,3
20909184,0,0,3
8443727,0,0,4
5452155,0,159,3
45369848,0,0,3
38056261,0,9,3
51108531,0,0,3
24047671,36,36,6
12265807,1,70,4
27997683,0,0,3
38350001,0,0,3
10820802,0,0,3
22163297,0,149,4
2814669,0,0,3
18810467,0,0,5
41832332,0,0,6
13486780,0,0,5
41306355,0,0,3
18550993,0,0,3
51525616,0,0,4
45560554,0,0,4
905028,0,0,3
839316,0,0,4
51205248,0,0,4
541066,0,0,3
453926,0,1,3
13844770,0,0,3
25954257,0,1,6
5521596,0,0,3
15336558,0,0,3
50392947,0,0,3
44669441,0,0,3
27143006,0,0,5
14948653,0,0,3
28404296,0,0,3
4395970,0,8,3
23263226,0,0,3
14402463,0,0,4
45628962,0,0,3
44279011,0,0,3
13722658,0,0,4
27366919,0,0,3
39901224,0,0,3
42513572,0,0,3
15234881,0,0,3
19529509,0,1,3
23191275,0,0,5
12291025,0,1,3
10903206,0,49,3
21789912,0,0,3
39149108,0,13,3
51755677,0,0,3
44836141,3,4,4
44580406,0,0,3
16721504,0,0,3
8856104,0,0,3
28797298,0,2,4
14855504,0,0,5
9828129,0,0,3
48533322,0,0,4
26465912,0,0,3
28657768,0,0,3
2088391,0,0,4
16782142,0,0,3
27595307,0,0,5
17098602,0,1,3
2245035,0,0,5
8655393,0,0,9
14877296,0,0,4
15344098,0,3,5
1900352,0,0,3
29899319,0,147,3
16293454,0,0,4
15754793,0,0,3
1984138,0,0,3
42784338,0,0,3
45687464,0,0,3
763693,0,0,5
9113351,0,82,6
13425735,0,0,5
1926894,0,0,3
4476092,0,24,3
4467722,0,1,8
8278398,0,1,3
26641127,0,0,3
14973211,0,0,3
16281227,0,0,3
46629180,0,0,3
29441005,0,1,3
22099242,0,0,3
17130211,0,0,3
14709975,0,0,3
2243051,0,0,3
25454355,0,2,3
30016433,0,0,5
13710950,0,1,3
39832213,0,0,3
28965250,0,0,3
25531612,0,0,3
13742225,0,0,4
23134491,0,0,3
25431007,0,0,3
29965623,0,18,3
15371691,0,0,3
27805966,0,0,3
29242693,0,2,3
4597541,0,1,3
22833186,0,0,5
43376550,0,0,4
12528694,0,0,3
14662930,0,0,3
13611532,0,0,3
30905721,2,2,6
4422399,0,0,3
25345866,0,0,3
23897051,0,2,3
38720471,0,0,4
22747826,0,0,3
25382277,0,0,3
14968135,0,0,3
2126751,0,0,3
10344234,0,0,3
22010659,0,0,3
22643272,0,0,3
14380551,0,26,5
43768500,0,0,6
8365567,2,248,6
7085595,0,0,3
13129380,0,0,3
13617817,0,0,3
8607285,0,61,4
28761458,0,0,3
46159712,0,0,3
29920456,0,0,3
18091506,7,8,5
21817900,0,4,5
15416302,0,1,3
12588193,0,12,3
43376199,0,0,3
17823783,0,0,6
42994525,45,47,6
15351197,0,125,3
15193359,0,423,4
43800975,0,0,3
27796479,0,0,4
8222593,0,0,3
43270492,0,0,3
49921525,0,0,3
3438888,0,0,3
25410632,0,0,3
29093444,0,0,3
38164927,0,0,8
35471380,0,0,3
6685724,0,0,3
7482011,0,0,3
31214051,0,0,4
12498646,0,0,3
15438239,0,0,3
25646588,0,0,3
50410051,0,0,3
20726556,0,4,4
3451041,0,0,3
15375197,0,0,3
37598725,0,0,4
26066565,0,1,6
9619628,0,42,4
11760171,0,0,4
25168899,0,0,3
47226303,0,0,4
38041619,0,0,3
4216380,0,0,3
26727998,0,0,3
40892291,0,0,6
20453629,0,0,3
25375421,0,0,3
23885486,0,0,3
48459523,0,0,4
42913739,0,0,4
33584089,0,0,5
42890469,0,0,3
25638707,0,0,3
23996067,0,0,3
53396457,0,0,3
7637814,0,0,3
29180921,0,2,4
21845210,0,0,6
1918695,0,0,3
10053590,0,0,3
23701187,0,0,3
41027406,0,0,3
45052154,0,1,5
18714727,0,0,3
32941377,0,0,4
47238374,0,0,3
42293044,0,0,3
7206223,0,0,3
21934404,0,0,8
20530527,0,0,3
36475782,0,2,4
12496860,0,0,6
19619969,0,0,3
36905923,0,0,3
3208832,0,1,4
26070293,0,0,5
41036872,0,0,3
46853397,0,0,3
1271064,0,0,4
46942226,0,0,3
39558423,0,0,3
31748924,0,0,5
